,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
126,kavieng,44,PG,1548867367,100,84.12,-2.57,150.8,10.22
127,hervey bay,92,AU,1548864000,83,71.6,-25.3,152.85,6.93
128,tsabong,20,BW,1548867367,81,69.0,-26.02,22.4,3.4
129,soledade,40,BR,1548864000,43,89.6,-7.06,-36.37,6.93
130,lagoa,75,PT,1548864000,87,59.0,37.14,-8.45,16.11
131,upernavik,80,GL,1548867376,100,7.44,72.79,-56.15,9.1
132,khorramabad,20,IR,1548863460,75,42.8,33.48,48.35,1.95
133,chara,20,GR,1548865200,62,51.8,39.42,22.43,9.17
134,geraldton,90,CA,1548864000,61,-20.21,49.72,-86.95,12.75
135,east london,75,ZA,1548864000,83,75.2,-33.02,27.91,5.82
136,lata,92,IN,1548867377,100,35.25,30.78,78.62,1.83
137,provideniya,0,RU,1548867378,100,15.41,64.42,-173.23,24.87
138,ludvika,90,SE,1548865200,92,12.2,60.15,15.18,2.24
139,inuvik,90,CA,1548864000,77,-2.21,68.36,-133.71,14.99
140,kaabong,0,UG,1548867388,36,74.49,3.51,34.14,8.21
141,saginaw,40,US,1548866160,59,2.3,43.42,-83.95,21.92
142,rasra,12,IN,1548867389,88,51.54,25.86,83.86,2.84
143,ostrovnoy,88,RU,1548867389,86,8.43,68.05,39.51,18.05
144,svetlogorsk,90,RU,1548865800,78,14.0,53.14,59.15,13.42
145,port elizabeth,1,US,1548863760,57,30.92,39.31,-74.98,8.05
146,saint-pierre,75,FR,1548865800,91,37.4,48.95,4.24,8.05
147,dagana,0,MR,1548864000,17,91.4,16.52,-15.51,2.24
148,vila franca do campo,75,PT,1548864000,88,62.6,37.72,-25.43,18.34
149,codrington,44,AU,1548864000,94,71.6,-28.95,153.24,4.7
150,kloulklubed,90,PW,1548865620,94,77.0,7.04,134.26,12.75
151,belyy yar,0,RU,1548865800,37,21.2,53.6,91.39,11.18
152,jalapa,40,GT,1548864000,67,62.6,14.63,-89.98,13.87
153,crepy-en-valois,75,FR,1548865800,87,37.4,49.23,2.89,5.82
154,porto novo,20,BR,1548864000,30,93.2,-23.68,-45.44,5.82
155,biak,48,ID,1548867393,100,77.06,-0.91,122.88,2.39
156,tadotsu,56,JP,1548867393,100,35.84,34.27,133.75,2.17
157,marawi,64,PH,1548867393,97,65.94,8.0,124.29,2.17
158,lorengau,36,PG,1548867394,100,82.32,-2.02,147.27,10.78
159,coldwater,1,US,1548867300,51,-9.94,41.94,-85.0,17.22
160,moravska trebova,0,CZ,1548864000,86,26.6,49.76,16.66,6.93
161,kruszwica,40,PL,1548865800,79,28.4,52.67,18.33,9.17
162,kaspiyskiy,76,RU,1548867405,88,26.61,45.39,47.37,9.22
163,thompson,5,CA,1548864000,65,-40.01,55.74,-97.86,4.7
164,sikeston,1,US,1548866100,30,19.4,36.88,-89.59,4.7
165,hilo,40,US,1548863580,83,68.0,19.71,-155.08,13.87
166,yamada,75,JP,1548864000,100,37.4,36.58,137.08,3.36
167,great bend,1,US,1548863760,66,10.94,38.36,-98.78,12.75
168,ilulissat,90,GL,1548863400,71,8.6,69.22,-51.1,14.99
169,manaure,75,CO,1548864000,55,86.0,11.78,-72.45,11.41
170,arica,75,CL,1548864000,73,77.0,-18.48,-70.32,8.05
171,tongren,92,CN,1548867408,99,41.51,27.72,109.18,5.64
172,atbasar,88,KZ,1548867408,72,12.21,51.81,68.36,6.64
173,camaqua,64,BR,1548867153,84,83.81,-30.85,-51.81,4.63
174,cherskiy,48,RU,1548867409,32,-21.95,68.75,161.3,3.62
175,newport,75,GB,1548865200,74,41.0,51.59,-3.0,9.17
176,sabang,68,PH,1548867410,98,74.63,13.72,123.58,11.01
177,clyde river,90,CA,1548864000,83,-13.01,70.47,-68.59,2.24
178,porto belo,20,BR,1548864000,75,96.8,-27.15,-48.54,11.41
